money_made_inv,loan_amnt,out_prncp_inv,term,int_rate
-2787.38,7000,3828.54,36,12.62
2.436708170386756,16200,0.0,36,11.99
-3.7731922839222616,9600,0.0,36,11.49
-7951.969999999999,12000,9665.27,60,12.62
-8058.76,24000,11358.24,60,6.49
-9.159176180950366,10000,0.0,36,9.93
4.349673010740236,15000,0.0,36,11.44
-8.164909999848572,4000,0.0,36,12.29
-21127.76,22600,21534.57,36,11.31
-5.061603049924411,20000,0.0,36,6.49
-0.8117022967314437,35000,0.0,60,12.29
0.0281518748434545,30000,0.0,36,19.99
-1.2165465600469192,32000,0.0,60,17.09
5.576562695774028,10000,0.0,36,16.02
-0.7014236930451685,20000,0.0,60,8.99
8.222411555055153,20000,0.0,36,8.99
-12572.07,15000,13186.35,36,10.47
-10.162391011204672,16000,0.0,60,12.74
3.531943721947105,10100,0.0,60,11.99
7.528513568847344,19750,0.0,60,23.13
-0.7372136117008382,7000,0.0,36,11.49
-6.227560646914746,10000,0.0,36,10.49
1.3845890105634109,12000,0.0,60,14.49
-9.325940310928866,3000,0.0,36,14.65
-4817.18,10000,5936.8,36,10.42
3.158475751962184,35000,0.0,36,9.17
-1.531719188979608,10000,0.0,36,6.03
1.035654616917863,35000,0.0,36,9.99
8.728365612780442,35000,0.0,60,25.57
-3.288090175431264,7000,0.0,36,10.99
-6.644568873282621,21000,0.0,36,11.53
-17394.93,25000,18504.6,36,6.07
-11340.46,27900,23405.17,60,30.94
-21199.49,25000,21794.99,36,6.11
-2995.62,6000,3508.79,36,7.97
-3.549140653092325,3600,0.0,36,11.49
-30402.46,35000,31679.95,36,11.55
-7089.669999999998,25000,10661.83,36,10.49
0.9648873672442236,30000,0.0,60,17.99
-11285.43,20000,16541.14,60,21.45
-5.560551543456978,14000,0.0,36,6.83
3.278414292733596,35000,0.0,60,13.44
-0.222076790091939,30000,0.0,36,12.74
0.0392468470789575,10400,0.0,36,13.99
0.3882888812034188,25000,0.0,36,13.98
6.080975837264572,25000,0.0,60,15.61
-9590.88,11000,9934.83,36,10.08
-11988.82,32000,15166.55,36,7.97
-3.369052864679351,5000,0.0,36,15.31
2.2384212211415164,14000,0.0,36,12.99
2.5846270159674605,15400,0.0,60,15.99
2.7295807866406303,19925,0.0,36,13.98
-1503.4400000000005,15000,4300.08,36,12.74
2.488096092858852,10000,0.0,36,13.49
-18736.72,27625,20753.4,36,9.92
-3849.29,6000,4369.28,36,10.91
-10486.25,12000,11364.92,60,18.45
-1.5390492791555763,35000,0.0,60,25.83
-14979.82,19200,17197.85,60,16.01
-1.590477587039517,18000,0.0,36,9.99
-2.3386779904243697,25000,0.0,60,15.41
1.3810483176689248,22800,0.0,60,16.02
2.563012726502263,15400,0.0,36,9.49
-3.908933781223097,25000,0.0,36,12.99
-4020.13,8000,5010.23,36,11.99
-22937.76,32500,25338.35,36,10.9
-23486.4,25000,23734.23,36,6.46
-0.652794770132485,35000,0.0,60,11.67
-5.73430986869133,16000,0.0,60,14.49
-6765.469999999999,10000,7526.36,36,10.41
3.043036023471484,25000,0.0,36,11.99
1.804963509785352,11900,0.0,60,13.33
-5023.76,16000,7304.65,36,10.91
-1808.9,2500,1922.03,36,6.83
-3.781293463361116,25000,0.0,60,9.99
-0.085618678226107,20000,0.0,36,13.44
-3518.58,10000,4830.09,36,10.42
-1165.09,4800,1924.02,36,11.39
2.9081221086626163,2200,0.0,36,21.85
-3.635397375549384,3500,0.0,36,12.73
-12.603880627452977,11000,0.0,36,12.99
-6.262429649626001,20000,0.0,36,11.47
-3982.55,7000,4755.71,36,11.99
0.5649679185906202,5000,0.0,36,13.67
7.404864769236578,13800,0.0,36,13.67
-3.623770190186308,15000,0.0,36,13.33
1103.2700000000004,10000,988.84,36,12.99
